NU_ANO_AVALIACAO;CO_UF;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;TP_SERIE;ID_TIPO_REDE;PC_ALUNO_ALFABETIZADO;VL_MEDIA_LP;PC_ALUNO_NIVEL_0_LP;PC_ALUNO_NIVEL_1_LP;PC_ALUNO_NIVEL_2_LP;PC_ALUNO_NIVEL_3_LP;PC_ALUNO_NIVEL_4_LP;PC_ALUNO_NIVEL_5_LP;PC_ALUNO_NIVEL_6_LP;PC_ALUNO_NIVEL_7_LP;PC_ALUNO_NIVEL_8_LP
2025;11;RO;1100015;Alta Floresta D'Oeste;2;3;78.15;763.29380;0.71000;2.92000;5.59000;7.04000;10.22000;32.52000;25.25000;11.54000;4.21000
2025;11;RO;1100015;Alta Floresta D'Oeste;2;5;78.15;763.29380;0.71000;2.92000;5.59000;7.04000;10.22000;32.52000;25.25000;11.54000;4.21000
2025;11;RO;1100023;Ariquemes;2;5;79.50;765.17300;1.61000;2.40000;3.98000;6.47000;10.20000;30.22000;28.52000;13.14000;3.45000
2025;11;RO;1100023;Ariquemes;2;3;79.50;765.17300;1.61000;2.40000;3.98000;6.47000;10.20000;30.22000;28.52000;13.14000;3.45000
2025;11;RO;1100031;Cabixi;2;5;86.89;768.97940;0.00000;0.00000;4.92000;3.28000;8.20000;42.63000;32.79000;4.91000;3.28000
2025;11;RO;1100031;Cabixi;2;3;86.89;768.97940;0.00000;0.00000;4.92000;3.28000;8.20000;42.63000;32.79000;4.91000;3.28000
2025;11;RO;1100049;Cacoal;2;3;84.77;773.50140;0.41000;0.87000;2.58000;5.50000;10.28000;28.92000;32.45000;12.25000;6.74000
2025;11;RO;1100049;Cacoal;2;5;84.65;772.49020;0.46000;0.97000;2.50000;5.44000;11.62000;29.35000;31.23000;12.10000;6.33000
2025;11;RO;1100049;Cacoal;2;2;83.92;766.40550;0.78000;1.56000;2.03000;5.09000;19.70000;31.98000;23.85000;11.19000;3.81000
2025;11;RO;1100056;Cerejeiras;2;3;89.69;776.84910;0.00000;0.68000;1.34000;3.05000;9.68000;34.19000;30.76000;14.55000;5.75000
2025;11;RO;1100056;Cerejeiras;2;5;89.69;776.84910;0.00000;0.68000;1.34000;3.05000;9.68000;34.19000;30.76000;14.55000;5.75000
2025;11;RO;1100064;Colorado do Oeste;2;5;78.27;765.34340;0.48000;1.41000;2.75000;9.22000;16.21000;27.69000;26.07000;12.89000;3.28000
2025;11;RO;1100064;Colorado do Oeste;2;3;78.27;765.34340;0.48000;1.41000;2.75000;9.22000;16.21000;27.69000;26.07000;12.89000;3.28000
2025;11;RO;1100072;Corumbiara;2;3;91.15;783.78230;0.00000;0.72000;0.00000;3.19000;6.44000;28.12000;36.44000;16.83000;8.26000
2025;11;RO;1100072;Corumbiara;2;5;91.15;783.78230;0.00000;0.72000;0.00000;3.19000;6.44000;28.12000;36.44000;16.83000;8.26000
2025;11;RO;1100080;Costa Marques;2;5;75.04;760.76360;0.46000;2.82000;3.65000;6.88000;17.11000;34.49000;25.08000;6.36000;3.15000
2025;11;RO;1100080;Costa Marques;2;3;75.04;760.76360;0.46000;2.82000;3.65000;6.88000;17.11000;34.49000;25.08000;6.36000;3.15000
2025;11;RO;1100098;Espigão D'Oeste;2;5;81.12;767.44970;1.48000;2.02000;3.36000;5.48000;9.77000;32.23000;29.07000;11.98000;4.61000
2025;11;RO;1100098;Espigão D'Oeste;2;2;74.15;759.49670;0.00000;2.16000;5.72000;12.50000;7.55000;32.47000;32.06000;7.55000;0.00000
2025;11;RO;1100098;Espigão D'Oeste;2;3;81.85;768.27940;1.63000;2.01000;3.12000;4.75000;10.00000;32.20000;28.76000;12.44000;5.09000
2025;11;RO;1100106;Guajará-Mirim;2;2;77.08;765.39110;0.00000;1.74000;4.50000;7.69000;13.49000;33.78000;23.97000;11.93000;2.90000
2025;11;RO;1100106;Guajará-Mirim;2;3;71.04;757.85850;2.57000;1.69000;5.32000;9.36000;16.30000;26.33000;26.89000;8.31000;3.24000
2025;11;RO;1100106;Guajará-Mirim;2;5;71.61;758.56850;2.32000;1.69000;5.24000;9.20000;16.04000;27.03000;26.61000;8.65000;3.21000
2025;11;RO;1100114;Jaru;2;3;87.39;774.67530;0.14000;0.77000;2.70000;4.43000;8.13000;34.87000;28.50000;14.24000;6.21000
2025;11;RO;1100114;Jaru;2;5;86.83;773.90610;0.13000;0.73000;3.19000;4.30000;8.70000;35.00000;27.83000;14.17000;5.96000
2025;11;RO;1100114;Jaru;2;2;78.26;762.00080;0.00000;0.00000;10.87000;2.17000;17.39000;36.96000;17.39000;13.04000;2.17000
2025;11;RO;1100122;Ji-Paraná;2;5;74.93;762.57210;1.91000;1.98000;5.93000;8.14000;11.86000;27.29000;26.49000;12.10000;4.30000
2025;11;RO;1100122;Ji-Paraná;2;2;73.98;760.16320;1.82000;1.43000;6.36000;8.57000;13.37000;29.85000;25.07000;9.74000;3.79000
2025;11;RO;1100122;Ji-Paraná;2;3;75.63;764.35990;1.98000;2.38000;5.61000;7.81000;10.75000;25.39000;27.55000;13.85000;4.67000
2025;11;RO;1100130;Machadinho D'Oeste;2;5;67.72;752.83450;2.70000;2.42000;8.26000;10.12000;14.10000;28.98000;24.65000;5.67000;3.11000
2025;11;RO;1100130;Machadinho D'Oeste;2;3;67.72;752.83450;2.70000;2.42000;8.26000;10.12000;14.10000;28.98000;24.65000;5.67000;3.11000
2025;11;RO;1100148;Nova Brasilândia D'Oeste;2;3;86.67;773.56620;0.44000;1.10000;2.04000;4.34000;7.83000;32.55000;37.05000;11.72000;2.93000
2025;11;RO;1100148;Nova Brasilândia D'Oeste;2;5;86.67;773.56620;0.44000;1.10000;2.04000;4.34000;7.83000;32.55000;37.05000;11.72000;2.93000
2025;11;RO;1100155;Ouro Preto do Oeste;2;5;86.25;772.25060;0.85000;1.09000;2.90000;4.27000;9.00000;33.01000;29.39000;14.53000;4.96000
2025;11;RO;1100155;Ouro Preto do Oeste;2;3;86.25;772.25060;0.85000;1.09000;2.90000;4.27000;9.00000;33.01000;29.39000;14.53000;4.96000
2025;11;RO;1100189;Pimenta Bueno;2;3;82.34;772.84810;0.78000;1.51000;3.05000;5.02000;10.81000;24.53000;33.73000;14.91000;5.66000
2025;11;RO;1100189;Pimenta Bueno;2;5;82.34;772.84810;0.78000;1.51000;3.05000;5.02000;10.81000;24.53000;33.73000;14.91000;5.66000
2025;11;RO;1100205;Porto Velho;2;5;62.53;748.08530;3.18000;4.24000;8.56000;11.97000;15.27000;27.36000;19.84000;7.60000;1.98000
2025;11;RO;1100205;Porto Velho;2;2;81.28;771.08750;0.44000;1.31000;2.65000;7.46000;10.58000;26.94000;31.46000;13.61000;5.56000
