id_municipio,municipio,uf,taxa_2023,taxa_2024,variacao_2023_2024,atingiu_meta_2025,prob_atingir,risco
4316907,Santa Maria,RS,64.84,40.3,-24.54,0,0.075,0.925
4305108,Caxias do Sul,RS,67.47,43.6,-23.87,0,0.075,0.925
4303103,Cachoeirinha,RS,59.56,40.5,-19.06,0,0.076,0.924
4316808,Santa Cruz do Sul,RS,69.79,48.4,-21.39,0,0.078,0.922
4309209,Gravataí,RS,62.99,40.5,-22.49,0,0.079,0.921
4313409,Novo Hamburgo,RS,62.48,37.0,-25.48,0,0.079,0.921
4314100,Passo Fundo,RS,58.68,36.5,-22.18,0,0.079,0.921
4318705,São Leopoldo,RS,56.43,37.5,-18.93,0,0.079,0.921
4319901,Sapiranga,RS,69.82,43.8,-26.02,0,0.085,0.915
4304705,Carazinho,RS,69.3,46.5,-22.8,0,0.085,0.915
4322509,Vacaria,RS,70.77,41.3,-29.47,0,0.085,0.915
4317202,Santa Rosa,RS,70.13,51.2,-18.93,0,0.085,0.915
4317509,Santo Ângelo,RS,63.45,42.8,-20.65,0,0.086,0.914
4318309,São Gabriel,RS,62.74,39.1,-23.64,0,0.086,0.914
4307708,Esteio,RS,61.82,46.6,-15.22,0,0.087,0.913
4318002,São Borja,RS,63.44,48.2,-15.24,0,0.087,0.913
4303004,Cachoeira do Sul,RS,59.11,40.5,-18.61,0,0.088,0.912
4301602,Bagé,RS,59.6,43.3,-16.3,0,0.089,0.911
4322400,Uruguaiana,RS,60.94,45.7,-15.24,0,0.089,0.911
4321204,Taquara,RS,61.27,45.0,-16.27,0,0.089,0.911
4307609,Estância Velha,RS,67.66,43.4,-24.26,0,0.09,0.91
4302105,Bento Gonçalves,RS,74.0,49.0,-25.0,0,0.09,0.91
4307005,Erechim,RS,66.14,46.7,-19.44,0,0.09,0.91
4311403,Lajeado,RS,72.19,48.2,-23.99,0,0.09,0.91
4312401,Montenegro,RS,64.42,43.0,-21.42,0,0.09,0.91
4305355,Charqueadas,RS,64.97,51.4,-13.57,0,0.091,0.909
4321501,Torres,RS,64.71,47.9,-16.81,0,0.091,0.909
4313508,Osório,RS,63.66,42.3,-21.36,0,0.091,0.909
4321808,Três de Maio,RS,74.21,52.1,-22.11,0,0.092,0.908
4319505,São Sebastião do Caí,RS,70.71,44.1,-26.61,0,0.093,0.907
4320107,Sarandi,RS,72.22,49.9,-22.32,0,0.093,0.907
4311304,Lagoa Vermelha,RS,66.11,52.3,-13.81,0,0.093,0.907
4322707,Vera Cruz,RS,70.46,44.5,-25.96,0,0.093,0.907
4322202,Tupanciretã,RS,68.26,42.9,-25.36,0,0.093,0.907
4313060,Nova Hartz,RS,73.14,45.1,-28.04,0,0.093,0.907
4306601,Dom Pedrito,RS,62.23,47.8,-14.43,0,0.093,0.907
4306908,Encruzilhada do Sul,RS,69.85,50.5,-19.35,0,0.093,0.907
4309308,Guaíba,RS,50.14,32.7,-17.44,0,0.094,0.906
4310207,Ijuí,RS,72.06,56.1,-15.96,0,0.094,0.906
4321303,Taquari,RS,61.7,25.6,-36.1,0,0.094,0.906
4321709,Três Coroas,RS,55.48,42.2,-13.28,0,0.094,0.906
4316402,Rosário do Sul,RS,53.58,36.7,-16.88,0,0.095,0.905
4311809,Marau,RS,67.83,46.2,-21.63,0,0.095,0.905
4314803,Portão,RS,56.04,39.8,-16.24,1,0.095,0.905
4320008,Sapucaia do Sul,RS,59.74,47.9,-11.84,0,0.095,0.905
4311007,Jaguarão,RS,63.56,47.3,-16.26,0,0.096,0.904
4307807,Estrela,RS,65.36,50.4,-14.96,0,0.096,0.904
4318200,São Francisco de Paula,RS,62.28,44.0,-18.28,0,0.096,0.904
4320909,Tapejara,RS,71.12,47.3,-23.82,0,0.098,0.902
4318507,São José do Norte,RS,57.28,41.4,-15.88,0,0.098,0.902
4323002,Viamão,RS,58.18,36.7,-21.48,0,0.099,0.901
4314050,Parobé,RS,58.28,38.0,-20.28,0,0.099,0.901
4306403,Dois Irmãos,RS,79.87,57.8,-22.07,0,0.1,0.9
4310108,Igrejinha,RS,77.71,47.7,-30.01,0,0.1,0.9
4313904,Panambi,RS,77.7,55.1,-22.6,0,0.1,0.9
4309100,Gramado,RS,78.92,57.5,-21.42,0,0.1,0.9
4314605,Piratini,RS,72.38,54.5,-17.88,0,0.101,0.899
4318903,São Luiz Gonzaga,RS,79.22,49.3,-29.92,0,0.102,0.898
4304408,Canela,RS,76.13,46.8,-29.33,0,0.102,0.898
4304507,Canguçu,RS,83.04,56.4,-26.64,0,0.102,0.898
4317608,Santo Antônio da Patrulha,RS,74.3,58.8,-15.5,0,0.102,0.898
4314407,Pelotas,RS,51.52,39.3,-12.22,0,0.102,0.898
4322806,Veranópolis,RS,77.14,57.0,-20.14,0,0.102,0.898
4304200,Candelária,RS,75.15,53.0,-22.15,0,0.102,0.898
4303905,Campo Bom,RS,77.45,45.9,-31.55,0,0.102,0.898
4318804,São Lourenço do Sul,RS,74.52,57.2,-17.32,0,0.104,0.896
4319604,São Sepé,RS,76.88,51.9,-24.98,0,0.105,0.895
4310801,Ivoti,RS,77.4,56.9,-20.5,0,0.105,0.895
4306809,Encantado,RS,83.92,56.4,-27.52,0,0.105,0.895
4307906,Farroupilha,RS,82.8,55.9,-26.9,0,0.105,0.895
4321907,Três Passos,RS,82.1,56.9,-25.2,0,0.105,0.895
4309407,Guaporé,RS,79.76,49.6,-30.16,1,0.105,0.895
4309605,Horizontina,RS,71.23,57.2,-14.03,0,0.106,0.894
4304606,Canoas,RS,54.62,42.9,-11.72,0,0.108,0.892
4308607,Garibaldi,RS,77.86,58.0,-19.86,0,0.109,0.891
4321600,Tramandaí,RS,59.13,40.2,-18.93,0,0.11,0.89
4319000,São Marcos,RS,82.76,44.4,-38.36,0,0.11,0.89
4311205,Júlio de Castilhos,RS,59.63,41.7,-17.93,1,0.11,0.89
4308201,Flores da Cunha,RS,80.35,59.4,-20.95,0,0.111,0.889
4304663,Capão do Leão,RS,49.19,29.8,-19.39,0,0.114,0.886
4315305,Quaraí,RS,65.88,46.6,-19.28,0,0.116,0.884
4315602,Rio Grande,RS,54.09,43.6,-10.49,0,0.117,0.883
4300604,Alvorada,RS,47.65,36.2,-11.45,0,0.119,0.881
4302709,Butiá,RS,59.53,45.1,-14.43,0,0.122,0.878
4316600,Sananduva,RS,74.0,53.3,-20.7,0,0.129,0.871
4307500,Espumoso,RS,69.18,50.3,-18.88,0,0.131,0.869
4318408,São Jerônimo,RS,76.2,60.5,-15.7,0,0.132,0.868
4315503,Restinga Sêca,RS,60.96,42.4,-18.56,1,0.135,0.865
4323804,Xangri-lá,RS,56.84,37.9,-18.94,0,0.135,0.865
4313300,Nova Prata,RS,78.81,59.8,-19.01,0,0.137,0.863
